Country Name,Country Code,Series Name,Series Code,2002 [YR2002]
India,IND,GDP per capita (current US$),NY.GDP.PCAP.CD,486.640454
India,IND,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,11.89016055
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,909.8873302
Indonesia,IDN,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,7.257458338
Russian Federation,RUS,GDP per capita (current US$),NY.GDP.PCAP.CD,2375.157871
Russian Federation,RUS,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,17.95363428
Pakistan,PAK,GDP per capita (current US$),NY.GDP.PCAP.CD,483.0318719
Pakistan,PAK,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,8.72392061
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,1135.44795
China,CHN,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,15.59002808
Jordan,JOR,GDP per capita (current US$),NY.GDP.PCAP.CD,1901.580379
Jordan,JOR,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,22.6955729
United States,USA,GDP per capita (current US$),NY.GDP.PCAP.CD,38175.37638
United States,USA,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,15.03979891
